City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,New Norfolk,AU,12.18,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
12,Keroka,KE,12.38,overcast clouds,-0.7758,34.9453,Bunker Hotel Keroka
15,Esperance,AU,12.91,broken clouds,-33.8667,121.9,Hospitality Esperance
17,Busselton,AU,14.25,few clouds,-33.65,115.3333,Observatory Guest House
19,Broken Hill,AU,13.95,few clouds,-31.95,141.4333,Royal Exchange Hotel
20,Saskylakh,RU,11.56,broken clouds,71.9167,114.0833,
22,Beian,NO,13.34,broken clouds,63.6559,9.5683,"Fjord-Fishing AS, Property & Housing Co."
23,Mar Del Plata,AR,13.94,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
34,Bredasdorp,ZA,10.06,light rain,-34.5322,20.0403,Bredasdorp Country Manor
37,Castro,BR,11.79,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
38,Anadyr,RU,10.0,broken clouds,64.75,177.4833,Отке17.ру — жильё для командированных
44,Hobart,AU,12.37,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
54,Kaitangata,NZ,10.86,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
56,Cape Town,ZA,12.99,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
59,Kodiak,US,12.27,light rain,57.79,-152.4072,Best Western Kodiak Inn
74,Port Alfred,ZA,12.12,clear sky,-33.5906,26.891,The Halyards Hotel
76,Port Lincoln,AU,14.26,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
81,Ayan,RU,14.2,overcast clouds,56.45,138.1667,Gostinitsa
83,Constitucion,CL,10.59,light rain,-35.3333,-72.4167,Hotel Boutique Las Azucenas
90,Khatanga,RU,14.97,clear sky,71.9667,102.5,"""Khatanga"""
99,Davlekanovo,RU,14.27,broken clouds,54.2215,55.0343,Asyly-Kul'
111,Lata,PT,13.47,overcast clouds,40.1629,-8.3327,Casa Maquia
113,Antofagasta,CL,13.05,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
114,Mataura,NZ,10.27,clear sky,-46.1927,168.8643,Ellie's Villa
134,Bluff,NZ,10.45,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
142,Inverell,AU,14.81,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
148,Kosa,RU,11.65,overcast clouds,59.9445,54.9977,Gostinitsa V Kose
154,Severo-Kurilsk,RU,13.43,overcast clouds,50.6789,156.125,Kak Doma
157,Mount Gambier,AU,13.03,scattered clouds,-37.8333,140.7667,The Commodore
162,Port Elizabeth,ZA,11.29,clear sky,-33.918,25.5701,39 On Nile Guest House
163,Tuktoyaktuk,CA,10.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
190,Orlik,RU,13.8,light rain,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
194,Krasnomayskiy,RU,14.39,few clouds,57.6194,34.4099,
198,Lakes Entrance,AU,11.76,light rain,-37.8811,147.981,The Esplanade Resort & Spa
199,Viedma,AR,14.74,clear sky,-40.8135,-62.9967,Hotel Cristal
202,Ilulissat,GL,10.01,scattered clouds,69.2167,-51.1,Hotel Arctic
208,Muyezerskiy,RU,12.77,light rain,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
209,Rawson,AR,11.81,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
211,Stornoway,GB,12.98,fog,58.2093,-6.3865,Caladh Inn
214,Kharitonovo,RU,10.04,scattered clouds,61.4009,47.4978,
217,Hermanus,ZA,11.56,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
230,Collie,AU,12.94,scattered clouds,-33.3667,116.15,Collie Ridge
233,Codrington,AU,13.21,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
238,Skjervoy,NO,12.0,light rain,70.0311,20.9714,Skjervøy fiskecamp AS
252,Chuy,UY,12.26,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
255,Chongwe,ZM,14.71,clear sky,-15.3292,28.682,Grakas Lodge
266,Brae,GB,13.1,broken clouds,60.3964,-1.353,Busta House Hotel
269,Christchurch,NZ,14.71,clear sky,-43.5333,172.6333,The George
271,Yerbogachen,RU,10.45,overcast clouds,61.2767,108.0108,
284,East London,ZA,13.13,clear sky,-33.0153,27.9116,Tu Casa
290,Hammerfest,NO,10.25,broken clouds,70.6634,23.6821,Skytterhuset
297,Qasigiannguit,GL,10.14,broken clouds,68.8193,-51.1922,Almost HOME
309,General Roca,AR,13.12,few clouds,-39.0333,-67.5833,Hotel El Recreo
315,Mercedes,AR,14.8,clear sky,-34.6515,-59.4307,Posada del Inti Centro
326,Tandil,AR,14.27,scattered clouds,-37.3217,-59.1332,Hostal de la Sierra Tandil
328,Petropavlovsk-Kamchatskiy,RU,14.33,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
337,Batagay-Alyta,RU,11.29,overcast clouds,67.8006,130.4114,
340,Tibagi,BR,12.55,overcast clouds,-24.5094,-50.4136,Far View Inn
352,Zhigansk,RU,14.0,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
355,Marau,BR,12.08,broken clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
359,Kanye,BW,10.27,scattered clouds,-24.9667,25.3327,The Savanna Lodge
362,Baykit,RU,13.94,broken clouds,61.67,96.37,
367,Magadan,RU,14.74,overcast clouds,59.5667,150.8,Magadan hotel
369,Lasa,IT,11.5,clear sky,46.6166,10.7002,Pension Feldgärtenhof
375,Butembo,CD,14.37,light rain,0.15,29.2833,Hotel Butembo
386,Tuatapere,NZ,11.09,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
387,Uinskoye,RU,10.75,clear sky,56.8817,56.5813,
389,Baykalovo,RU,11.2,clear sky,57.3981,63.7684,Gostinitsa Karavan
391,Kondinskoye,RU,11.56,few clouds,59.6481,67.41,Gostinitsa
396,Coquimbo,CL,11.85,clear sky,-29.9533,-71.3436,Hotel San Juan
420,Sangar,RU,14.83,light rain,63.9242,127.4739,
424,Kuito,AO,11.3,clear sky,-12.3833,16.9333,Herdeiros de Antunes Capusso
432,Camabatela,AO,13.34,overcast clouds,-8.1881,15.375,Comércio e Prestação de Serviços
440,Yura,PE,11.22,clear sky,-16.2522,-71.6797,Hotel Yura
445,Havoysund,NO,10.13,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
454,Mpika,ZM,12.68,clear sky,-11.8343,31.4529,Melodies Lodge
456,Victor Harbor,AU,14.44,few clouds,-35.5667,138.6167,McCracken Country Club
458,Camacupa,AO,14.39,overcast clouds,-12.0167,17.4833,
476,Saldanha,ZA,11.03,light rain,-33.0117,17.9442,Blue Bay Lodge
482,Vitim,RU,14.4,light rain,59.4511,112.5578,Gostinitsa V Apteke
483,Strezhevoy,RU,10.99,light rain,60.7333,77.5889,Sibiryachka
486,Krasnoselkup,RU,14.16,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
500,Yukamenskoye,RU,10.88,clear sky,57.8865,52.2416,
506,Kasempa,ZM,14.61,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
507,Kabompo,ZM,12.2,clear sky,-13.5927,24.2008,Big Tree
530,Mpongwe,ZM,13.71,clear sky,-13.5091,28.155,Casablanca guest house and bar
532,Vagur,FO,11.1,overcast clouds,61.4732,-6.8119,Budget Guesthouse Borgustova
551,Gerede,TR,13.78,clear sky,40.8008,32.1969,Hotel Konuk
560,Bollnas,SE,14.07,few clouds,61.3482,16.3946,Grand Hotel
570,Rocha,UY,11.68,clear sky,-34.4833,-54.3333,Hotel Arrarte
573,Inndyr,NO,10.02,overcast clouds,67.0338,14.0276,Heimsjyen
582,Durazno,UY,13.46,clear sky,-33.4131,-56.5006,Hotel Santa Cristina
589,Krasnovishersk,RU,11.2,broken clouds,60.4078,57.082,Vishera hotel
591,Raudeberg,NO,12.75,overcast clouds,61.9875,5.1352,Nordre Silda.
593,Floro,NO,12.98,scattered clouds,61.5996,5.0328,Kinn Hotell Florø
594,Bendigo,AU,13.81,overcast clouds,-36.7667,144.2833,The Hotel Shamrock
602,Urengoy,RU,12.82,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
603,Murdochville,CA,13.49,overcast clouds,48.9583,-65.5006,Les Suites économique Murdochville
613,Klaksvik,FO,10.51,overcast clouds,62.2266,-6.589,Airbnb rooms
628,Waipawa,NZ,11.59,clear sky,-41.4122,175.5153,Tora Coastal Walk
631,Sargatskoye,RU,13.27,broken clouds,55.6101,73.4972,Kvartira Posutochno V Sargatke
633,Artigas,UY,14.98,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
639,Setermoen,NO,10.98,overcast clouds,68.861,18.3486,Room4You
645,Taltal,CL,14.13,clear sky,-25.4,-70.4833,Residencial Karime
653,Beaverlodge,CA,14.64,overcast clouds,55.2166,-119.4361,Side Trax Inn
655,Ocampo,MX,14.74,overcast clouds,21.65,-101.5,Hotel Estancia del Vaquero
657,Megion,RU,12.01,overcast clouds,61.0296,76.1136,Komfort Hotel
674,Palana,RU,12.83,overcast clouds,59.1167,159.9667,Chikago
680,Chillan,CL,11.18,few clouds,-36.6066,-72.1034,Hotel Rukalaf
699,Te Anau,NZ,10.63,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
